fid,fid_2,calle_numero,codigo_postal,colonia,alcaldia,sup_terreno,sup_construccion,anio_construccion,instal_esp,valor_unitario_suelo,valor_suelo,cve_vus,subsidio,uso_suelo_raw,clasificacion_viabilidad,ratio_construccion_terreno,valor_m2_suelo_estimado,presupuesto_max_m2_alcaldia,accessibility_score,risk_score,commercial_confidence_score,score_tamano,score_subutilizacion,score_viabilidad_normativa,score_accesibilidad,score_riesgo,score_validacion_comercial,opportunity_score
1006731.0,1443222.0,CANCUN MZ 107 LT 13,14240.0,HEROES DE PADIERNA,TLALPAN,1489.27,296.97,1989.0,0,1628.1,2424680.487,A140572,0.0,,revision manual,0.19940642059532523,1628.1000000000001,17000,0.5,0.8,0.0,0.000197769551287753,0.5568746208992772,0.6,0.5,0.8,0.0,0.38641447809011303
1075073.0,1511669.0,"AVD. LAS MARGARITAS, 170",14500.0,ZONA RUSTICA,TLALPAN,9240.79,1852.44,1995.0,1,203.44,1879946.3176,A140360,0.0,,revision manual,0.20046338029540764,203.43999999999997,17000,0.5,0.8,0.0,0.002421882935299887,0.5545258215657608,0.6,0.5,0.8,0.0,0.38638954090021216
1032494.0,494205.0,CARR FEDERAL A CUERNAVACA 5667-A,14650.0,SAN PEDRO MARTIR,TLALPAN,2392.0,478.0,2009.0,1,1563.66,3740274.72,A140912,0.0,,revision manual,0.19983277591973245,1563.66,17000,0.5,0.8,0.0,0.0004567863473676539,0.5559271646228168,0.6,0.5,0.8,0.0,0.3862767901940369
1010874.0,485739.0,AV INSURGENTES SUR 3900,14000.0,TLALPAN,TLALPAN,3967.0,794.0,1965.0,1,13195.33,52345874.11,C-14-F,0.0,,revision manual,0.200151247794303,13195.33,17000,0.5,0.8,0.0,0.000908694951076231,0.5552194493459934,0.6,0.5,0.8,0.0,0.38622562885941397
1035876.0,1124260.0,"CL. LOS MADROÑOS, 4",14460.0,TLALPUENTE,TLALPAN,1665.15,332.98,2015.0,1,908.74,1513188.411,A140971,0.0,,revision manual,0.19996997267513436,908.74,17000,0.5,0.8,0.0,0.0002482341133323655,0.555622282944146,0.6,0.5,0.8,0.0,0.38617410341149566
1065919.0,911148.0,HIDALGO 48,14700.0,PUEBLO SAN MIGUEL AJUSCO,TLALPAN,1040.0,208.0,1966.0,0,675.29,702301.6,A140930,917.230620849,,revision manual,0.2,675.29,17000,0.5,0.8,0.0,6.886226342225938e-05,0.5555555555555556,0.6,0.5,0.8,0.0,0.3861248835637956
1079863.0,913982.0,GUERRERO 5,14900.0,PARRES,TLALPAN,1342.0,269.0,1967.0,0,255.3,342612.6,A140670,740.69981394738,,revision manual,0.20044709388971685,255.29999999999998,17000,0.5,0.8,0.0,0.0001555139448952691,0.5545620135784071,0.6,0.5,0.8,0.0,0.3859435055046605
1036150.0,1124156.0,AGUA CRISTALINA 300,14460.0,TLALPUENTE,TLALPAN,7923.72,1595.11,1983.0,0,908.74,7200601.3128,A140971,0.0,,revision manual,0.20130822391502978,908.74,17000,0.5,0.8,0.0,0.002043981179943407,0.5526483912999338,0.6,0.5,0.8,0.0,0.38593847449597546
1042793.0,859509.0,FORESTAL 137,14370.0,EJIDO HUIPULCO,TLALPAN,1135.97,227.7,1978.0,0,2303.9,2617161.283,A140863,0.0,,revision manual,0.20044543429844097,2303.8999999999996,17000,0.5,0.8,0.0,9.639856100823536e-05,0.5545657015590201,0.6,0.5,0.8,0.0,0.3859324200240057
1032503.0,112314.0,"CARRETERA FEDERAL MEXICO-CUERNAVACA, 6233",14650.0,PUEBLO SAN PEDRO MARTIR,TLALPAN,4480.0,900.22,1994.0,1,1563.66,7005196.8,A140912,0.0,,revision manual,0.2009419642857143,1563.6599999999999,17000,0.5,0.8,0.0,0.0010558880391413105,0.5534623015873016,0.6,0.5,0.8,0.0,0.3859036379252886
1065872.0,910921.0,GENERAL JOSE GONZALEZ VARELA 10,14700.0,SAN MIGUEL AJUSCO,TLALPAN,2384.0,479.0,1991.0,0,675.29,1609891.36,A140930,0.0,,revision manual,0.20092281879194632,675.2900000000001,17000,0.5,0.8,0.0,0.0004544909385869119,0.5535048471290083,0.6,0.5,0.8,0.0,0.3857918676135191
1036780.0,502222.0,JUAREZ 20,14400.0,SAN ANDRES TOTOLTEPEC,TLALPAN,2494.19,502.26,1993.0,0,1756.72,4381593.4568,A140832,0.0,,revision manual,0.20137198850127697,1756.7199999999998,17000,0.5,0.8,0.0,0.0004861073252806568,0.5525066922193845,0.6,0.5,0.8,0.0,0.38559855990893305
